Date,Open,High,Low,Close,Adj Close,Volume
2021-03-19,21.350000,21.750000,20.950001,21.490000,21.490000,11116200
2021-03-22,21.110001,21.340000,20.660000,20.709999,20.709999,8828200
2021-03-23,20.200001,21.270000,19.850000,20.299999,20.299999,13619400
2021-03-24,20.790001,22.100000,20.510000,20.799999,20.799999,18154000
2021-03-25,21.150000,21.200001,19.950001,21.010000,21.010000,12538000
2021-03-26,21.270000,21.450001,20.320000,20.660000,20.660000,9671000
2021-03-29,20.510000,21.299999,20.430000,20.570000,20.570000,9202900
2021-03-30,20.530001,22.440001,20.500000,22.330000,22.330000,14541700
2021-03-31,22.360001,22.360001,21.440001,21.510000,21.510000,9439000
2021-04-01,21.760000,22.250000,21.639999,21.680000,21.680000,7234900
2021-04-05,22.209999,22.620001,21.969999,22.600000,22.600000,7890400
2021-04-06,22.350000,22.930000,22.049999,22.530001,22.530001,6821600
2021-04-07,22.549999,22.959999,22.230000,22.379999,22.379999,6431500
2021-04-08,22.500000,23.330000,22.350000,23.290001,23.290001,6787100
2021-04-09,23.059999,23.799999,22.600000,23.340000,23.340000,7318000
2021-04-12,23.379999,23.650000,22.770000,23.219999,23.219999,7237900
2021-04-13,23.320000,23.320000,22.510000,23.180000,23.180000,6127300
2021-04-14,23.200001,23.559999,22.840000,22.889999,22.889999,8087200
2021-04-15,23.049999,23.270000,22.750000,22.959999,22.959999,5458500
2021-04-16,22.990000,23.059999,22.700001,22.760000,22.760000,4279200
2021-04-19,22.770000,23.530001,22.590000,23.129999,23.129999,6330900
2021-04-20,23.180000,23.280001,22.049999,22.219999,22.219999,10294300
2021-04-22,22.639999,23.370001,22.420000,23.070000,23.070000,11143600
2021-04-23,23.240000,24.150000,22.980000,24.020000,24.020000,10336600
2021-04-26,24.299999,24.750000,24.049999,24.219999,24.219999,9336300
2021-04-27,24.320000,24.520000,23.709999,23.850000,23.850000,5322300
2021-04-28,24.070000,24.360001,23.760000,24.139999,24.139999,5219600
2021-04-29,24.080000,24.950001,23.410000,23.840000,23.840000,9908600
2021-04-30,23.760000,24.370001,23.400000,23.450001,23.450001,6254300
2021-05-03,23.670000,23.780001,23.040001,23.440001,23.440001,5717200
2021-05-04,23.370001,23.530001,22.780001,23.170000,23.170000,5028600
2021-05-05,23.490000,24.350000,22.870001,24.190001,24.190001,8215100
2021-05-06,24.120001,24.580000,23.530001,23.910000,23.910000,6240100
2021-05-07,24.040001,25.100000,23.950001,24.950001,24.950001,8915700
2021-05-10,25.200001,25.430000,24.920000,25.330000,25.330000,4835400
2021-05-11,24.799999,25.200001,24.459999,24.940001,24.940001,6498200
2021-05-12,24.700001,24.830000,23.900000,23.990000,23.990000,6110400
2021-05-13,24.190001,24.660000,23.799999,24.090000,24.090000,5124500
2021-05-14,24.500000,25.480000,24.209999,25.389999,25.389999,7879000
2021-05-17,25.500000,25.580000,24.889999,25.230000,25.230000,4036300
2021-05-18,25.530001,25.950001,25.150000,25.590000,25.590000,4409300
2021-05-19,25.309999,26.030001,25.240000,25.910000,25.910000,5097000
2021-05-20,25.980000,26.520000,25.730000,25.940001,25.940001,4526700
2021-05-21,26.070000,26.230000,25.450001,25.500000,25.500000,5223300
2021-05-24,25.680000,25.750000,24.910000,25.030001,25.030001,5443500
2021-05-25,25.209999,26.129999,25.190001,25.750000,25.750000,7503300
2021-05-26,25.910000,27.750000,25.910000,27.590000,27.590000,16208800
2021-05-27,27.660000,27.750000,26.809999,27.420000,27.420000,6893200
2021-05-28,27.379999,27.379999,26.350000,26.590000,26.590000,7060100
2021-05-31,26.780001,26.870001,26.420000,26.809999,26.809999,2414700
2021-06-01,27.400000,27.510000,26.370001,26.450001,26.450001,7675200
2021-06-02,26.500000,27.209999,26.190001,27.030001,27.030001,5790300
2021-06-04,27.000000,27.150000,26.410000,26.480000,26.480000,8019100
2021-06-07,27.139999,28.070000,27.100000,27.520000,27.520000,11801600
2021-06-08,27.549999,27.770000,27.049999,27.200001,27.200001,5745300
2021-06-09,27.980000,28.750000,27.120001,27.450001,27.450001,12587100
2021-06-10,27.639999,27.680000,26.070000,26.250000,26.250000,12002900
2021-06-11,26.330000,26.500000,25.610001,25.790001,25.790001,7126600
2021-06-14,26.070000,26.150000,25.660000,25.700001,25.700001,5401200
2021-06-15,25.740000,25.910000,25.080000,25.230000,25.230000,6588600
2021-06-16,25.200001,25.700001,24.809999,25.110001,25.110001,8989200
2021-06-17,24.990000,25.110001,24.450001,24.600000,24.600000,6492500
2021-06-18,24.500000,24.900000,24.290001,24.900000,24.900000,4675700
2021-06-21,25.049999,25.459999,24.780001,25.450001,25.450001,6377200
2021-06-22,25.459999,25.459999,24.650000,24.820000,24.820000,5125000
2021-06-23,24.840000,25.260000,24.520000,24.980000,24.980000,6075000
2021-06-24,25.180000,25.299999,24.690001,24.780001,24.780001,4085800
2021-06-25,24.900000,24.930000,23.820000,24.000000,24.000000,6074800
2021-06-28,23.780001,24.110001,23.510000,23.660000,23.660000,5745800
2021-06-29,23.549999,23.700001,23.000000,23.270000,23.270000,5686400
2021-06-30,23.100000,23.299999,22.840000,22.959999,22.959999,6563600
2021-07-01,23.240000,23.270000,22.480000,22.750000,22.750000,5985000
2021-07-02,22.990000,23.719999,22.950001,23.450001,23.450001,6668500
2021-07-05,23.440001,23.540001,23.160000,23.389999,23.389999,2703100
2021-07-06,23.400000,23.410000,22.510000,22.629999,22.629999,8472300
